   MJD       EECO-REF    NIST-REF NS     DATE    COMMENTS	
=========    ========    ======== ==   ========  ========
 49913.00       0.0          .429 g f 15-JUL-95  CL Eff: pol. - Grypstra
 49913.50       0.0          .444 g f 15-JUL-95  CL Eff: pol. - Grypstra
 49914.00       0.0          .460 g f 16-JUL-95  CL Eff: pol. - Grypstra
 49914.50       0.0          .476 g f 16-JUL-95  CL Eff: pol. - Grypstra
 49915.00       0.0          .492 g f 17-JUL-95  CL Eff: pol. - Grypstra
 49915.50       0.0          .508 g f 17-JUL-95  CL Eff: pol. - Grypstra
 49928.00       0.0         1.024 g f 30-JUL-95  CL Eff: pol. - Grypstra
 49928.50       0.0         1.049 g f 30-JUL-95  CL Eff: pol. - Grypstra
 49929.00       0.0         1.074 g f 31-JUL-95  CL Eff: pol. - Grypstra
 49929.50       0.0         1.099 g f 31-JUL-95  CL Eff: pol. - Grypstra
 49930.00       0.0         1.125 g f 01-AUG-95  CL Eff: pol. - Grypstra
 49930.50       0.0         1.151 g f 01-AUG-95  CL Eff: pol. - Grypstra
 49931.00       0.0         1.177 g f 02-AUG-95  CL Eff: pol. - Grypstra
 49931.50       0.0         1.204 g f 02-AUG-95  CL Eff: pol. - Grypstra
 49932.00       0.0         1.231 g f 03-AUG-95  CL Eff: pol. - Grypstra
 49932.50       0.0         1.258 g f 03-AUG-95  CL Eff: pol. - Grypstra
 49933.00       0.0         1.285 g f 04-AUG-95  CL Eff: pol. - Grypstra
 49960.00       0.0         3.241 g f 31-AUG-95  CL Eff: pol. - Grypstra
 49960.50       0.0         3.286 g f 31-AUG-95  CL Eff: pol. - Grypstra
 49961.00       0.0          .265 g f 01-SEP-95  CL Eff: pol. - Grypstra
 49961.50       0.0          .299 g f 01-SEP-95  CL Eff: pol. - Grypstra
 49990.00       0.0         -.404 g f 30-SEP-95  CL Eff: pol. - Grypstra
 49990.50       0.0         -.412 g f 30-SEP-95  CL Eff: pol. - Grypstra
 49991.00       0.0         -.420 g f 01-OCT-95  CL Eff: pol. - Grypstra
 49991.50       0.0         -.428 g f 01-OCT-95  CL Eff: pol. - Grypstra
 49992.00       0.0         -.436 g f 02-OCT-95  CL Eff: pol. - Grypstra
 49992.50       0.0         -.443 g f 02-OCT-95  CL Eff: pol. - Grypstra
 49993.00       0.0         -.450 g f 03-OCT-95  CL Eff: pol. - Grypstra
 49993.50       0.0         -.456 g f 03-OCT-95  CL Eff: pol. - Grypstra
 49994.00       0.0         -.462 g f 04-OCT-95  CL Eff: pol. - Grypstra
 49994.50       0.0         -.468 g f 04-OCT-95  CL Eff: pol. - Grypstra
 49995.00       0.0         -.474 g f 05-OCT-95  CL Eff: pol. - Grypstra
 49995.50       0.0         -.479 g f 05-OCT-95  CL Eff: pol. - Grypstra
 49996.00       0.0         -.484 g f 06-OCT-95  CL Eff: pol. - Grypstra
 50043.00       0.0          .456 g f 22-NOV-95  CL Eff: pol. - Grypstra
 50043.50       0.0          .481 g f 22-NOV-95  CL Eff: pol. - Grypstra
 50044.00       0.0          .507 g f 23-NOV-95  CL Eff: pol. - Grypstra
 50044.50       0.0          .532 g f 23-NOV-95  CL Eff: pol. - Grypstra
 50073.00       0.0          .401 g f 22-DEC-95  CL Eff: pol. - Grypstra
 50074.50       0.0          .280 g f 23-DEC-95  CL Eff: pol. - Grypstra
