    MJD        PKS-TID          NSITE  Date and comments
 50857.00                  -0.665 7    130298
 50858.00                  -0.667 7    140298
 50859.00                  -0.664 7    150298
 50860.00                  -0.654 7    160298
 50861.00                  -0.637 7    170298
 50862.00                  -0.630 7    180298
 50863.00                  -0.634 7    190298
 50864.00                  -0.620 7    200298
 50865.00                  -0.614 7    210298
 50866.00                  -0.609 7    220298
 50867.00                  -0.595 7    230298
 50868.00                  -0.609 7    240298
 50869.00                  -0.588 7    250298
 50870.00                  -0.582 7    260298
 50871.00                  -0.592 7    270298
 50872.00                  -0.574 7    280298
 50873.00                  -0.565 7    010398
 50874.00                  -0.551 7    020398
 50875.00                  -0.557 7    030398
 50876.00                  -0.567 7    040398
 50877.00                  -0.599 7    050398
 50878.00                  -0.537 7    060398
 50879.00                  -0.553 7    070398
 50880.00                  -0.559 7    080398
 50881.00                  -0.551 7    090398
 50882.00                  -0.563 7    100398
 50883.00                  -0.537 7    110398
 50884.00                  -0.538 7    120398
 50885.00                  -0.515 7    130398
 50886.00                  -0.507 7    140398
 50887.00                  -0.500 7    150398
 50888.00                  -0.494 7    160398
 50889.00                  -0.480 7    170398
 50890.00                  -0.461 7    180398
 50891.00                  -0.456 7    190398
 50892.00                  -0.449 7    200398
 50893.00                  -0.434 7    210398
 50894.00                  -0.408 7    220398
 50895.00                  -0.377 7    230398
 50896.00                  -0.347 7    240398
 50897.00                  -0.337 7    250398
 50898.00                  -0.326 7    260398
 50899.00                  -0.304 7    270398
 50900.00                  -0.279 7    280398
 50901.00                  -0.259 7    290398
 50902.00                  -0.256 7    300398
 50903.00                  -0.238 7    310398
 50904.00                  -0.204 7    010498
 50905.00                  -0.177 7    020498
 50906.00                  -0.152 7    030498
 50907.00                  -0.139 7    040498
 50908.00                  -0.102 7    050498
 50909.00                  -0.076 7    060498
 50910.00                  -0.055 7    070498
 50911.00                  -0.028 7    080498
 50912.00                  -0.004 7    090498
 50913.00                   0.034 7    100498
 50914.00                   0.045 7    110498
 50915.00                   0.071 7    120498
 50916.00                   0.088 7    130498
 50917.00                   0.111 7    140498
 50918.00                   0.146 7    150498
 50919.00                   0.175 7    160498
 50920.00                   0.198 7    170498
 50921.00                   0.215 7    180498
 50922.00                   0.244 7    190498
 50923.00                   0.273 7    200498
 50924.00                   0.290 7    210498
 50925.00                   0.324 7    220498
 50926.00                   0.342 7    230498
 50927.00                   0.373 7    240498
 50928.00                   0.400 7    250498
 50929.00                   0.411 7    260498
 50930.00                   0.431 7    270498
 50931.00                   0.453 7    280498
 50932.00                   0.487 7    290498
 50933.00                   0.516 7    300498
 50934.00                   0.541 7    010598
 50935.00                   0.566 7    020598
 50936.00                   0.580 7    030598
 50937.00                   0.608 7    040598
 50938.00                   0.645 7    050598
 50939.00                   0.673 7    060598
 50940.00                   0.707 7    070598
 50941.00                   0.731 7    080598
 50942.00                   0.752 7    090598
 50943.00                   0.773 7    100598
 50944.00                   0.804 7    110598
 50945.00                   0.819 7    120598
 50946.00                   0.916 7    130598
 50947.00                   0.882 7    140598
 50948.00                   0.908 7    150598
 50949.00                   0.942 7    160598
 50950.00                   0.979 7    170598
 50951.00                   1.001 7    180598
 50952.00                   1.000 7    190598
 50953.00                   1.040 7    200598
 50954.00                   1.044 7    210598
 50955.00                   1.054 7    220598
 50956.00                   1.067 7    230598
 50957.00                   1.075 7    240598
 50958.00                   1.105 7    250598
 50959.00                   1.119 7    260598
 50965.00                  -1.840 7    010698
 50966.00                  -0.590 7    020698
 50967.00                  -0.563 7    030698
 50968.00                  -0.471 7    040698
 50969.00                  -0.382 7    050698
 50970.00                  -0.296 7    060698
 50971.00                  -0.206 7    070698
 50972.00                  -0.113 7    080698
 50973.00                  -0.025 7    090698
 50974.00                   0.059 7    100698
 50975.00                   0.138 7    110698
 50976.00                   0.154 7    120698
 50977.00                   0.155 7    130698
 50978.00                   0.165 7    140698
 50979.00                   0.165 7    150698
 50980.00                   0.162 7    160698
 50981.00                   0.164 7    170698
 50982.00                   0.166 7    180698
 50983.00                   0.147 7    190698
 50984.00                   0.144 7    200698
 50985.00                   0.121 7    210698
 50986.00                   0.113 7    220698
 50987.00                   0.094 7    230698
 50988.00                   0.071 7    240698
 50989.00                   0.064 7    250698
 50990.00                   0.051 7    260698
 50991.00                   0.009 7    270698
 50992.00                  -0.042 7    280698
 50993.00                  -0.054 7    290698
 50994.00                  -0.087 7    300698
 50995.00                  -0.139 7    010798
 50996.00                  -0.164 7    020798
 50997.00                  -0.192 7    030798
 50998.00                  -0.234 7    040798
 50999.00                  -0.267 7    050798
 51000.00                  -0.298 7    060798
 51001.00                  -0.321 7    070798
 51002.00                  -0.358 7    080798
 51003.00                  -0.386 7    090798
 51004.00                  -0.408 7    100798
 51005.00                  -0.429 7    110798
 51006.00                  -0.442 7    120798
 51007.00                  -0.461 7    130798
 51008.00                  -0.475 7    140798
 51009.00                  -0.524 7    150798
 51010.00                  -0.559 7    160798
 51011.00                  -0.590 7    170798
 51012.00                  -0.632 7    180798
 51013.00                  -0.669 7    190798
 51014.00                  -0.714 7    200798
 51015.00                  -0.756 7    210798
 51016.00                  -0.793 7    220798
 51017.00                  -0.814 7    230798
 51018.00                  -0.844 7    240798
 51019.00                  -0.868 7    250798
 51020.00                  -0.904 7    260798
 51021.00                  -0.921 7    270798
 51022.00                  -0.938 7    280798
 51023.00                  -0.977 7    290798
 51024.00                  -0.992 7    300798
 51025.00                  -1.016 7    310798
 51026.00                  -1.048 7    010898
 51027.00                  -1.068 7    020898
 51028.00                  -1.099 7    030898
 51029.00                  -1.127 7    040898
 51030.00                  -1.155 7    050898
 51031.00                  -1.198 7    060898
 51032.00                  -1.232 7    070898
 51033.00                  -1.272 7    080898
 51034.00                  -1.316 7    090898
 51035.00                  -1.344 7    100898
 51036.00                  -1.383 7    110898
 51037.00                  -1.415 7    120898
 51038.00                  -1.449 7    130898
 51039.00                  -1.431 7    140898
 51040.00                  -1.512 7    150898
 51041.00                  -1.528 7    160898
 51042.00                  -1.571 7    170898
 51043.00                  -1.604 7    180898
 51044.00                  -1.632 7    190898
 51045.00                  -1.662 7    200898
 51046.00                  -1.710 7    210898
 51047.00                  -1.750 7    220898
 51048.00                  -1.798 7    230898
 51049.00                  -1.833 7    240898
 51050.00                  -1.870 7    250898
 51051.00                  -1.921 7    260898
 51052.00                  -1.967 7    270898
 51053.00                  -1.991 7    280898
 51054.00                  -2.024 7    290898
 51055.00                  -2.076 7    300898
 51056.00                  -2.114 7    310898
 51057.00                  -2.165 7    010998
 51058.00                  -2.202 7    020998
 51059.00                  -2.249 7    030998
 51060.00                  -2.297 7    040998
 51061.00                  -2.280 7    050998
 51062.00                  -2.546 7    060998
 51063.00                  -2.599 7    070998
 51064.00                  -2.613 7    080998
 51065.00                  -2.581 7    090998
 51066.00                  -2.584 7    100998
 51067.00                  -2.630 7    110998
 51068.00                  -2.677 7    120998
 51069.00                  -2.723 7    130998
 51070.00                  -2.777 7    140998
 51071.00                  -2.817 7    150998
 51072.00                  -2.862 7    160998
 51073.00                  -2.917 7    170998
 51074.00                  -2.965 7    180998
 51075.00                  -3.011 7    190998
 51076.00                  -3.049 7    200998
 51077.00                  -3.081 7    210998
 51078.00                  -3.114 7    220998
 51079.00                  -3.142 7    230998
 51080.00                  -3.161 7    240998
 51081.00                  -3.219 7    250998
 51082.00                  -3.252 7    260998
 51083.00                  -3.275 7    270998
 51084.00                  -3.303 7    280998
 51085.00                  -1.552 7    290998
 51086.00                   0.487 7    300998
 51087.00                   0.987 7    011098
 51088.00                   1.448 7    021098
 51089.00                   1.886 7    031098
 51090.00                   2.364 7    041098
 51091.00                   2.737 7    051098
 51092.00                   3.033 7    061098
 51093.00                   3.423 7    071098
 51094.00                   3.538 7    081098
 51095.00                   3.666 7    091098
 51096.00                   3.486 7    101098
 51097.00                   3.143 7    111098
 51098.00                   2.759 7    121098
 51099.00                   2.469 7    131098
 51100.00                   2.348 7    141098
 51101.00                   2.228 7    151098
 51102.00                   2.110 7    161098
 51103.00                   1.864 7    171098
 51104.00                   1.715 7    181098
 51105.00                   1.562 7    191098
 51106.00                   0.828 7    201098
 51107.00                  -0.050 7    211098
 51108.00                  -0.058 7    221098
 51109.00                  -0.054 7    231098
 51110.00                  -0.057 7    241098
 51111.00                  -0.052 7    251098
 51112.00                  -0.036 7    261098
 51113.00                  -0.040 7    271098
 51114.00                  -0.041 7    281098
 51115.00                  -0.033 7    291098
 51116.00                  -0.023 7    301098
 51117.00                  -0.012 7    311098
 51118.00                  -0.010 7    011198
 51119.00                  -2.220 7    021198
 51120.00                   0.040 7    031198
 51121.00                   0.035 7    041198
 51122.00                   0.131 7    051198
 51123.00                   0.148 7    061198
 51124.00                   0.180 7    071198
 51125.00                   0.206 7    081198
 51126.00                   0.214 7    091198
 51127.00                   0.231 7    101198
 51128.00                   0.253 7    111198
 51129.00                   0.280 7    121198
 51130.00                   0.290 7    131198
 51131.00                   0.314 7    141198
 51132.00                   0.344 7    151198
 51133.00                   0.364 7    161198
 51134.00                   0.377 7    171198
 51135.00                   0.407 7    181198
 51136.00                   0.430 7    191198
 51137.00                   0.468 7    201198
 51138.00                   0.502 7    211198
 51139.00                   0.522 7    221198
 51140.00                   0.541 7    231198
 51141.00                   0.549 7    241198
 51142.00                   0.553 7    251198
 51143.00                   0.548 7    261198
 51144.00                   0.572 7    271198
 51145.00                   0.574 7    281198
 51146.00                   0.576 7    291198
 51147.00                   0.590 7    301198
 51148.00                   0.600 7    011298
 51149.00                   0.599 7    021298
 51150.00                   0.614 7    031298
 51151.00                   0.622 7    041298
 51152.00                   0.631 7    051298
 51153.00                   0.639 7    061298
 51154.00                   0.658 7    071298
 51155.00                   0.661 7    081298
 51156.00                   0.651 7    091298
 51157.00                   0.706 7    101298
 51158.00                   0.686 7    111298
 51159.00                   0.712 7    121298
 51160.00                   0.722 7    131298
 51161.00                   0.729 7    141298
 51162.00                   0.743 7    151298
 51163.00                   0.771 7    161298
 51164.00                   0.772 7    171298
 51165.00                   0.789 7    181298
 51166.00                   0.809 7    191298
 51167.00                   0.830 7    201298
 51168.00                   0.849 7    211298
 51169.00                   0.863 7    221298
 51170.00                   0.875 7    231298
 51171.00                   0.897 7    241298
 51172.00                   0.912 7    251298
 51173.00                   0.929 7    261298
 51174.00                   0.957 7    271298
 51179.00                   1.040 7    010199
 51180.00                   1.064 7    020199
 51181.00                   1.081 7    030199
 51182.00                   1.096 7    040199
 51183.00                   1.123 7    050199
 51184.00                   1.159 7    060199
 51185.00                   1.190 7    070199
 51186.00                   1.224 7    080199
 51187.00                   1.239 7    090199
 51188.00                   1.264 7    100199
 51189.00                   1.281 7    110199
 51190.00                   1.302 7    120199
 51191.00                   1.315 7    130199
 51192.00                   1.329 7    140199
 51193.00                   1.413 7    150199
 51194.00                   1.547 7    160199
 51195.00                   1.460 7    170199
 51196.00                   1.425 7    180199
 51197.00                   1.493 7    190199
 51198.00                   1.503 7    200199
 51199.00                   1.453 7    210199
 51200.00                   1.848 7    220199
 51201.00                   1.818 7    230199
 51202.00                   1.889 7    240199
 51203.00                   1.912 7    250199
 51204.00                   1.813 7    260199
 51205.00                   1.720 7    270199
 51206.00                   1.772 7    280199
 51207.00                   1.780 7    290199
 51208.00                   1.784 7    300199
 51209.00                   1.815 7    310199
 51210.00                   1.777 7    010299
 51211.00                   1.806 7    020299
 51212.00                   1.836 7    030299
 51213.00                   1.868 7    040299
 51214.00                   1.887 7    050299
 51215.00                   1.918 7    060299
 51216.00                   1.958 7    070299
 51217.00                   1.978 7    080299
 51218.00                   1.997 7    090299
 51219.00                   2.026 7    100299
 51220.00                   2.048 7    110299
 51221.00                   2.088 7    120299
 51222.00                   2.110 7    130299
 51223.00                   2.131 7    140299
 51224.00                   2.153 7    150299
 51225.00                   2.185 7    160299
 51226.00                   2.205 7    170299
 51227.00                   2.238 7    180299
 51228.00                   2.259 7    190299
 51229.00                   2.230 7    200299
 51230.00                   2.274 7    210299
 51231.00                   2.303 7    220299
 51232.00                   2.333 7    230299
 51233.00                   1.517 7    240299
 51234.00                  -0.109 7    250299
 51235.00                  -0.088 7    260299
 51236.00                  -0.083 7    270299
 51237.00                  -0.175 7    280299
 51238.00                  -0.127 7    010399
 51239.00                  -0.136 7    020399
 51240.00                   0.116 7    030399
 51241.00                   0.193 7    040399
 51242.00                   0.182 7    050399
 51243.00                   0.238 7    060399
 51244.00                   0.250 7    070399
 51245.00                   0.278 7    080399
 51246.00                   0.296 7    090399
 51247.00                   0.318 7    100399
 51248.00                   0.345 7    110399
 51249.00                   0.371 7    120399
 51250.00                  -0.148 7    130399
 51251.00                  -0.101 7    140399
 51252.00                   0.058 7    150399
 51253.00                   0.089 7    160399
 51254.00                   0.053 7    170399
 51255.00                   0.009 7    180399
 51256.00                   0.030 7    190399
 51257.00                   0.051 7    200399
 51258.00                   0.062 7    210399
 51259.00                   0.083 7    220399
 51260.00                   0.119 7    230399
 51261.00                   0.124 7    240399
 51262.00                   0.145 7    250399
 51263.00                   0.174 7    260399
 51264.00                   0.203 7    270399
 51265.00                   0.248 7    280399
 51266.00                   0.131 7    290399
 51267.00                  -0.821 7    300399
 51268.00                  -0.945 7    310399
 51269.00                  -1.183 7    010499
 51270.00                  -1.192 7    020499
 51271.00                  -1.082 7    030499
 51272.00                  -0.966 7    040499
 51273.00                  -0.843 7    050499
 51274.00                  -0.844 7    060499
 51275.00                  -1.304 7    070499
 51276.00                  -1.237 7    080499
 51277.00                  -1.248 7    090499
 51278.00                  -1.155 7    100499
 51279.00                  -1.061 7    110499
 51280.00                  -1.270 7    120499
 51281.00                  -2.575 7    130499
 51282.00                  -3.391 7    140499
 51283.00                  -0.436 7    150499
 51284.00                  -0.303 7    160499
 51285.00                  -0.261 7    170499
 51286.00                  -0.118 7    180499
 51287.00                  -0.063 7    190499
 51288.00                   0.064 7    200499
 51289.00                  -0.025 7    210499
 51290.00                  -0.432 7    220499
 51291.00                  -0.260 7    230499
 51292.00                  -0.120 7    240499
 51293.00                  -0.058 7    250499
 51294.00                  -0.004 7    260499
 51295.00                   0.122 7    270499
 51296.00                   0.250 7    280499
 51297.00                   4.865 7    290499
 51298.00                   9.424 7    300499
 51299.00                   9.712 7    010599
 51300.00                   9.949 7    020599
 51301.00                  10.247 7    030599
 51302.00                  10.482 7    040599
 51303.00                  10.751 7    050599
 51304.00                  11.037 7    060599
 51305.00                  11.355 7    070599
 51306.00                  11.694 7    080599
 51307.00                  12.033 7    090599
 51308.00                  12.337 7    100599
 51309.00                  12.658 7    110599
 51310.00                  13.028 7    120599
 51311.00                  13.346 7    130599
 51312.00                  13.674 7    140599
 51313.00                  14.104 7    150599
 51314.00                  14.211 7    160599
 51315.00                  14.354 7    170599
 51316.00                  14.484 7    180599
 51317.00                  14.648 7    190599
 51318.00                  14.787 7    200599
 51319.00                  14.894 7    210599
 51320.00                  15.203 7    220599
 51321.00                  15.444 7    230599
 51322.00                   9.400 7    240599
 51323.00                   0.665 7    250599
 51324.00                   0.929 7    260599
 51325.00                   1.171 7    270599
 51326.00                   1.339 7    280599
 51327.00                   1.546 7    290599
 51328.00                   1.867 7    300599
 51329.00                   2.136 7    310599
 51330.00                   2.411 7    010699
 51331.00                   2.643 7    020699
 51332.00                   2.865 7    030699
 51333.00                   3.138 7    040699
 51334.00                   3.391 7    050699
 51335.00                   3.615 7    060699
 51336.00                   3.896 7    070699
 51337.00                   4.020 7    080699
 51338.00                   4.714 7    090699
 51339.00                   4.633 7    100699
 51340.00                   1.643 7    110699
 51341.00                   0.122 7    120699
 51342.00                  -0.169 7    130699
 51343.00                  -0.448 7    140699
 51344.00                  -0.746 7    150699
 51345.00                  -1.060 7    160699
 51346.00                  -1.348 7    170699
 51347.00                  -1.639 7    180699
 51348.00                  -1.952 7    190699
 51349.00                  -2.243 7    200699
 51350.00                  -2.486 7    210699
 51351.00                   0.785 7    220699
 51352.00                   0.706 7    230699
 51353.00                   0.671 7    240699
 51354.00                   0.744 7    250699
 51355.00                   0.834 7    260699
 51356.00                   0.849 7    270699
 51357.00                   0.705 7    280699
 51358.00                   0.714 7    290699
 51359.00                   0.656 7    300699
 51360.00                   0.714 7    010799
 51361.00                   0.062 7    020799
 51362.00                   0.130 7    030799
 51363.00                   0.194 7    040799
 51364.00                   0.354 7    050799
 51365.00                   0.477 7    060799
 51366.00                   0.609 7    070799
 51367.00                   0.754 7    080799
 51368.00                   0.871 7    090799
 51369.00                   0.986 7    100799
 51370.00                   1.120 7    110799
 51371.00                   1.272 7    120799
 51372.00                   1.380 7    130799
 51373.00                   1.498 7    140799
 51374.00                   1.622 7    150799
 51375.00                   1.753 7    160799
 51376.00                   1.872 7    170799
 51377.00                   1.992 7    180799
 51378.00                   2.111 7    190799
 51379.00                   2.230 7    200799
 51380.00                   2.354 7    210799
 51381.00                   2.476 7    220799
 51382.00                   2.596 7    230799
 51383.00                   2.727 7    240799
 51384.00                   2.861 7    250799
 51385.00                   2.977 7    260799
 51386.00                   3.111 7    270799
 51387.00                   3.227 7    280799
 51388.00                   3.347 7    290799
 51389.00                   3.482 7    300799
 51390.00                   3.516 7    310799
 51391.00                   3.526 7    010899
 51392.00                   3.438 7    020899
 51393.05                   3.5   7    030899
 51393.10                  -0.04  7    030899
 51394.00                  -0.020 7    040899
 51395.00                  -0.004 7    050899
 51396.00                   0.015 7    060899
 51397.00                   0.031 7    070899
 51398.00                   0.060 7    080899
 51399.00                   0.074 7    090899
 51400.00                  -0.088 7    100899
 51401.00                   0.000 7    110899
 51402.00                   0.029 7    120899
 51403.00                   0.048 7    130899
 51404.00                   0.069 7    140899
 51405.00                   0.072 7    150899
 51406.00                   0.095 7    160899
 51407.00                   0.122 7    170899
 51408.00                   0.156 7    180899
 51409.00                   0.176 7    190899
 51410.00                   0.195 7    200899
 51411.00                   0.206 7    210899
 51412.00                   0.228 7    220899
 51413.00                   0.234 7    230899
 51414.00                   0.244 7    240899
 51415.00                   0.261 7    250899
 51416.00                   0.274 7    260899
 51417.00                   0.285 7    270899
 51418.00                   0.309 7    280899
 51419.00                   0.327 7    290899
 51420.00                   0.345 7    300899
 51421.00                   0.350 7    310899
 51422.00                   0.387 7    010999
 51423.00                   0.399 7    020999
 51424.00                   0.411 7    030999
 51425.00                   0.431 7    040999
 51426.00                   0.453 7    050999
 51427.00                   0.467 7    060999
 51428.00                   0.487 7    070999
 51429.00                   0.499 7    080999
 51430.00                   0.514 7    090999
 51431.00                   0.553 7    100999
 51432.00                   0.556 7    110999
 51433.00                   0.566 7    120999
 51434.00                   0.580 7    130999
 51435.00                   0.574 7    140999
 51436.00                   0.595 7    150999
 51437.00                   0.608 7    160999
 51438.00                   0.627 7    170999
 51439.00                   0.629 7    180999
 51440.00                   0.634 7    190999
 51441.00                   0.653 7    200999
 51442.00                   0.667 7    210999
 51443.00                   0.673 7    220999
 51444.00                   0.677 7    230999
 51445.00                   0.689 7    240999
 51446.00                   0.703 7    250999
 51447.00                   0.721 7    260999
 51448.00                   0.722 7    270999
 51449.00                   0.730 7    280999
 51450.00                   0.738 7    290999
 51451.00                   0.752 7    300999
 51452.00                   0.766 7    011099
 51453.00                   0.768 7    021099
 51454.00                   0.781 7    031099
 51455.00                   0.799 7    041099
 51456.00                   0.811 7    051099
 51457.00                   0.837 7    061099
 51458.00                   0.839 7    071099
 51459.00                   0.841 7    081099
 51460.00                   0.848 7    091099
 51461.00                   0.851 7    101099
 51462.00                   0.869 7    111099
 51463.00                   0.876 7    121099
 51464.00                   0.877 7    131099
 51465.00                   0.884 7    141099
 51466.00                   0.898 7    151099
 51467.00                   0.902 7    161099
 51468.00                   0.915 7    171099
 51469.00                   0.932 7    181099
 51470.00                   0.944 7    191099
 51471.00                   0.950 7    201099
 51472.00                   0.960 7    211099
 51473.00                   0.986 7    221099
 51474.00                   1.000 7    231099
 51475.00                   1.000 7    241099
 51476.00                   1.000 7    251099
 51477.00                   1.000 7    261099
 51478.00                   1.067 7    271099
 51479.00                   1.097 7    281099
 51480.00                   1.125 7    291099
 51481.00                   1.120 7    301099
 51482.00                   1.139 7    311099
 51483.00                   1.164 7    011199
 51484.00                   1.174 7    021199
 51485.00                   1.171 7    031199
 51486.00                   1.178 7    041199
 51487.00                   1.194 7    051199
 51488.00                   1.214 7    061199
 51489.00                   1.235 7    071199
 51490.00                   1.253 7    081199
 51491.00                   1.271 7    091199
 51492.00                   1.290 7    101199
 51493.00                   1.300 7    111199
 51494.00                   1.321 7    121199
 51495.00                   1.343 7    131199
 51496.00                   1.375 7    141199
 51497.00                   1.393 7    151199
 51498.00                   1.395 7    161199
 51499.00                   1.430 7    171199
 51500.00                   1.451 7    181199
 51501.00                   1.469 7    191199
 51502.00                   1.477 7    201199
 51503.00                   1.496 7    211199
 51504.00                   1.533 7    221199
 51505.00                   1.531 7    231199
 51506.00                   1.550 7    241199
 51507.00                   1.560 7    251199
 51508.00                   1.566 7    261199
 51509.00                   1.578 7    271199
 60000.00                   0.0   7    999999
